,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,0,3,1,22.0,1,0,7.25,2
1,1,1,0,38.0,1,0,71.2833,0
2,1,3,0,26.0,0,0,7.925,2
3,1,1,0,35.0,1,0,53.1,2
4,0,3,1,35.0,0,0,8.05,2
5,0,1,1,54.0,0,0,51.8625,2
6,0,3,1,2.0,3,1,21.075,2
7,1,3,0,27.0,0,2,11.1333,2
8,1,2,0,14.0,1,0,30.0708,0
9,1,3,0,4.0,1,1,16.7,2
10,1,1,0,58.0,0,0,26.55,2
11,0,3,1,20.0,0,0,8.05,2
12,0,3,1,39.0,1,5,31.275,2
13,0,3,0,14.0,0,0,7.8542,2
14,1,2,0,55.0,0,0,16.0,2
15,0,3,1,2.0,4,1,29.125,1
16,0,3,0,31.0,1,0,18.0,2
17,0,2,1,35.0,0,0,26.0,2
18,1,2,1,34.0,0,0,13.0,2
19,1,3,0,15.0,0,0,8.0292,1
20,1,1,1,28.0,0,0,35.5,2
21,0,3,0,8.0,3,1,21.075,2
22,1,3,0,38.0,1,5,31.3875,2
23,0,1,1,19.0,3,2,263.0,2
24,0,1,1,40.0,0,0,27.7208,0
25,0,2,1,66.0,0,0,10.5,2
26,0,1,1,28.0,1,0,82.1708,0
27,0,1,1,42.0,1,0,52.0,2
28,0,3,1,21.0,0,0,8.05,2
29,0,3,0,18.0,2,0,18.0,2
30,1,3,0,14.0,1,0,11.2417,0
31,0,3,0,40.0,1,0,9.475,2
32,0,2,0,27.0,1,0,21.0,2
33,1,2,0,3.0,1,2,41.5792,0
34,1,3,0,19.0,0,0,7.8792,1
35,0,3,0,18.0,1,0,17.8,2
36,0,3,1,7.0,4,1,39.6875,2
37,0,3,1,21.0,0,0,7.8,2
38,1,1,0,49.0,1,0,76.7292,0
39,1,2,0,29.0,1,0,26.0,2
40,0,1,1,65.0,0,1,61.9792,0
41,1,2,0,21.0,0,0,10.5,2
42,0,3,1,28.5,0,0,7.2292,0
43,1,2,0,5.0,1,2,27.75,2
44,0,3,1,11.0,5,2,46.9,2
45,0,3,1,22.0,0,0,7.2292,0
46,0,1,1,45.0,1,0,83.475,2
47,0,3,1,4.0,3,2,27.9,2
48,1,2,0,29.0,0,0,10.5,2
49,0,3,1,19.0,0,0,8.1583,2
50,1,3,0,17.0,4,2,7.925,2
51,0,3,1,26.0,2,0,8.6625,2
52,0,2,1,32.0,0,0,10.5,2
53,0,3,0,16.0,5,2,46.9,2
54,0,2,1,21.0,0,0,73.5,2
55,0,3,1,26.0,1,0,14.4542,0
56,1,3,1,32.0,0,0,56.4958,2
57,0,3,1,25.0,0,0,7.65,2
58,1,2,1,0.83,0,2,29.0,2
59,1,3,0,30.0,0,0,12.475,2
60,0,3,1,22.0,0,0,9.0,2
61,1,3,1,29.0,0,0,9.5,2
62,0,1,1,28.0,0,0,47.1,2
63,1,2,0,17.0,0,0,10.5,2
64,1,3,0,33.0,3,0,15.85,2
65,0,3,1,16.0,1,3,34.375,2
66,1,1,0,23.0,3,2,263.0,2
67,0,3,1,24.0,0,0,8.05,2
68,0,3,1,29.0,0,0,8.05,2
69,0,3,1,20.0,0,0,7.8542,2
70,0,1,1,46.0,1,0,61.175,2
71,0,3,1,26.0,1,2,20.575,2
72,0,3,1,59.0,0,0,7.25,2
73,1,1,1,23.0,0,1,63.3583,0
74,1,2,0,34.0,0,1,23.0,2
75,0,2,1,34.0,1,0,26.0,2
76,0,3,0,28.0,0,0,7.8958,2
77,0,1,1,21.0,0,1,77.2875,2
78,0,3,1,33.0,0,0,8.6542,2
79,0,3,1,37.0,2,0,7.925,2
80,0,3,1,28.0,0,0,7.8958,2
81,1,3,0,21.0,0,0,7.65,2
82,0,3,1,38.0,0,0,7.8958,2
83,0,1,1,47.0,0,0,52.0,2
84,0,3,0,14.5,1,0,14.4542,0
85,0,3,1,22.0,0,0,8.05,2
86,0,3,0,20.0,1,0,9.825,2
87,0,3,0,17.0,0,0,14.4583,0
88,0,3,1,21.0,0,0,7.925,2
89,0,2,1,29.0,1,0,21.0,2
90,0,1,1,24.0,0,1,247.5208,0
91,0,3,0,2.0,4,2,31.275,2
92,0,2,1,21.0,2,0,73.5,2
93,0,2,1,32.5,1,0,30.0708,0
94,1,2,0,32.5,0,0,13.0,2
95,0,1,1,54.0,0,1,77.2875,2
96,1,3,1,12.0,1,0,11.2417,0
97,1,3,1,24.0,0,0,7.1417,2
98,0,3,1,45.0,0,0,6.975,2
99,0,3,1,33.0,0,0,7.8958,0
100,0,3,1,20.0,0,0,7.05,2
101,0,3,0,47.0,1,0,14.5,2
102,0,2,1,25.0,0,0,13.0,2
103,0,2,1,23.0,0,0,15.0458,0
104,1,1,0,19.0,0,2,26.2833,2
105,0,1,1,37.0,1,0,53.1,2
106,0,3,1,16.0,0,0,9.2167,2
107,0,1,1,24.0,0,0,79.2,0
108,1,3,0,22.0,0,0,7.75,2
109,1,3,0,24.0,1,0,15.85,2
110,0,3,1,19.0,0,0,6.75,1
111,0,2,1,18.0,0,0,11.5,2
112,0,2,1,19.0,1,1,36.75,2
113,1,3,1,27.0,0,0,7.7958,2
114,0,3,0,9.0,2,2,34.375,2
115,0,2,1,36.5,0,2,26.0,2
116,0,2,1,42.0,0,0,13.0,2
117,0,2,1,51.0,0,0,12.525,2
118,1,1,0,22.0,1,0,66.6,2
119,0,3,1,55.5,0,0,8.05,2
120,0,3,1,40.5,0,2,14.5,2
121,0,1,1,51.0,0,1,61.3792,0
122,1,3,0,16.0,0,0,7.7333,1
123,0,3,1,30.0,0,0,8.05,2
124,0,3,1,44.0,0,1,16.1,2
125,1,2,0,40.0,0,0,15.75,2
126,0,3,1,26.0,0,0,7.775,2
127,0,3,1,17.0,0,0,8.6625,2
128,0,3,1,1.0,4,1,39.6875,2
129,1,3,1,9.0,0,2,20.525,2
130,0,3,0,45.0,1,4,27.9,2
131,0,3,1,28.0,0,0,56.4958,2
132,0,1,1,61.0,0,0,33.5,2
133,0,3,1,4.0,4,1,29.125,1
134,1,3,0,1.0,1,1,11.1333,2
135,0,1,1,56.0,0,0,30.6958,0
136,0,3,1,18.0,1,1,7.8542,2
137,0,1,0,50.0,0,0,28.7125,0
138,0,2,1,30.0,0,0,13.0,2
139,0,3,1,36.0,0,0,0.0,2
140,0,3,1,9.0,4,2,31.3875,2
141,1,2,1,1.0,2,1,39.0,2
142,1,3,0,4.0,0,2,22.025,2
143,1,1,1,45.0,0,0,26.55,2
144,0,3,1,40.0,1,1,15.5,1
145,0,3,1,36.0,0,0,7.8958,2
146,1,2,0,32.0,0,0,13.0,2
147,0,2,1,19.0,0,0,13.0,2
148,1,3,0,19.0,1,0,7.8542,2
149,1,2,1,3.0,1,1,26.0,2
150,1,1,0,44.0,0,0,27.7208,0
151,1,1,0,58.0,0,0,146.5208,0
152,0,3,1,42.0,0,1,8.4042,2
153,0,2,0,24.0,0,0,13.0,2
154,0,3,1,28.0,0,0,9.5,2
155,0,3,1,34.0,0,0,6.4958,2
156,0,3,1,45.5,0,0,7.225,0
157,1,3,1,18.0,0,0,8.05,2
158,0,3,0,2.0,0,1,10.4625,2
159,0,3,1,32.0,1,0,15.85,2
160,1,3,1,26.0,0,0,18.7875,0
161,1,3,0,16.0,0,0,7.75,1
162,1,1,1,40.0,0,0,31.0,0
163,0,3,1,24.0,0,0,7.05,2
